Date,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,W.P Kuala Lumpur,W.P Labuan,W.P Putrajaya,Total
2019-01-01,1.50,2.80,3.00,4.40,1.70,3.00,3.00,1.90,4.10,5.00,2.90,4.00,5.30,3.30,2.30,4.80,3.30
2019-04-01,0.90,2.70,2.80,4.90,1.30,2.50,3.50,1.90,4.70,3.80,2.50,4.00,6.10,2.60,3.20,4.60,3.30
2019-07-01,1.10,2.80,3.20,5.10,1.60,2.10,2.50,1.90,4.00,3.70,2.10,3.20,6.70,3.40,2.50,2.60,3.30
2019-10-01,0.40,2.70,3.10,5.10,1.60,2.60,2.20,2.20,4.60,2.00,2.40,3.30,5.40,3.60,2.50,4.20,3.20
2020-01-01,0.20,3.20,3.70,4.20,1.20,3.30,3.00,2.10,4.20,3.60,2.30,3.30,6.70,3.30,2.60,2.50,3.50
2020-04-01,2.10,4.60,4.10,4.20,2.20,3.60,3.10,4.30,5.40,4.20,4.60,3.80,9.10,5.70,3.80,6.40,5.10
2020-07-01,1.20,3.60,4.40,4.60,2.50,3.70,2.80,4.00,4.80,4.70,4.80,3.90,8.60,3.90,3.70,5.70,4.70
2020-10-01,2.10,3.90,4.00,4.10,3.70,4.20,3.30,3.70,4.90,5.10,4.50,4.00,8.40,4.50,4.90,8.20,4.80
2021-01-01,2.40,3.90,3.60,4.40,3.60,3.70,3.60,3.50,4.60,5.30,4.50,3.70,8.90,4.70,4.90,9.00,4.80
2021-04-01,1.70,3.80,3.90,4.80,3.60,3.50,3.60,3.90,4.40,5.30,4.40,4.20,8.70,4.40,4.70,8.80,4.80
2021-07-01,1.00,4.00,3.80,5.10,3.00,3.70,3.80,3.70,4.80,4.90,3.60,4.40,9.00,4.60,4.80,8.20,4.70
2021-10-01,1.60,3.60,3.80,4.70,3.10,3.10,3.30,3.20,4.30,4.20,2.90,4.10,9.00,4.00,5.00,7.60,4.30
2022-01-01,1.00,3.20,3.40,3.90,3.00,3.30,2.40,3.30,3.80,3.40,3.20,4.50,9.10,3.20,4.80,6.90,4.10
2022-04-01,0.90,2.90,3.30,3.80,3.20,3.30,2.70,2.90,3.60,3.30,2.90,4.40,8.60,3.30,4.30,7.20,3.90
2022-07-01,1.00,2.50,3.00,3.60,2.60,3.00,2.90,2.60,3.10,2.50,3.20,4.30,8.20,3.00,3.50,6.90,3.70
2022-10-01,1.60,2.40,3.30,4.10,2.70,2.60,2.70,2.30,2.80,2.20,2.90,4.30,8.10,3.10,3.20,4.50,3.60
2023-01-01,0.80,2.60,2.80,3.90,2.90,2.50,2.60,2.30,3.20,2.10,2.60,4.20,7.70,3.40,3.20,5.40,3.50
2023-04-01,0.50,2.40,2.60,3.90,2.70,2.30,2.80,2.10,3.20,2.20,2.50,4.50,7.50,3.60,3.40,7.30,3.50
